https://github.com/elric97/feature-hunt,,
Item,Assessment,Evidence
Do you provide success stories on your website?,N,
Do you list your important partners and collaborators on your website?,Y,
Do you list your project's publications on your website or link to a resource where these are available?,Y,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Y,
Can users subscribe to notifications to changes to your source code repository?,N,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",N,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,
Do you have a contributions policy?,Y,
Is your contributions' policy publicly available?,N,
Do contributors keep the copyright/IP of their contributions?,Y,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Y,
Does each of your source code files include a copyright statement?,Y,
Does your website and documentation clearly state the licence of your software?,Y,MIT Licence
Is your software released under an open source licence?,Y,MIT Licence
Is your software released under an OSI-approved open-source licence?,Y,MIT Licence
Does each of your source code files include a licence header?,N,
Do you have a recommended citation for your software?,N,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Y,https://github.com/elric97/feature-hunt/projects/1
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",N,
